TRM,edson_median,hinton_median,whitecourt_median
"022025",18967.566,20629.535,19070.68
"022034",27786.834,,27176.732
"022035",18603.921,20219.54,18709.641
"022044",28528.004,28791.116,27994.776
"022045",18299.588,19910.703,18401.057
"022054",27512.7695,28790.713,26889.913
"022055",18459.555,20077.7615,18566.75
"022064",27212.6105,28789.792,26591.864
"022065",18730.585,20276.184,18836.295
"022074",27901.659,28789.3265,27326.0525
"022075",19465.873,19591.117,19571.4575
"022084",27464.644,28793.377,26835.858
"022085",19468.124,18704.4395,19573.7585
"022094",25761.5455,28776.1425,25143.4845
"022095",19576.494,18000.677,19701.9505
"022104",26346.853,28749.5565,25721.622
"022105",21001.9915,17980.848,21309.909
"022114",25333.5805,28649.245,24711.57
"022115",21704.554,18383.186,22563.685
"022124",24996.874,28339.032,24377.574
"022125",20795.528,17767.5735,22662.59
"022134",25376.645,28684.3765,24756.42
"022144",24073.0585,27285.957,23455.232
"022154",24235.8065,27172.967,23687.526
"022164",24102.719,26743.1765,23614.013
"022174",23876.146,26483.581,23390.529
"022184",22854.995,25445.827,22371.0735
"022194",22641.503,25288.174,22158.9115
"022204",22101.086,24707.042,21772.1205
"022214",21663.7785,24107.362,21763.397
"022224",21224.866,23672.276,21330.2275
"022234",21225.264,23441.446,21331.6825
"022244",21064.764,23077.855,21167.6155
"022254",20475.626,22447.422,20580.099
"022264",20124.02,22072.423,20229.644
"022274",19812.0055,21701.078,19919.4625
"022284",19439.2645,21251.779,19538.593
"022294",19034.355,20822.663,19135.3595
"023014",26556.3485,,25932.411
"023015",18270.679,20061.124,18376.906
"023024",26458.688,,25838.45
"023025",18515.018,20177.2365,18614.121
"023034",27324.878,28790.872,26699.326
"023035",18218.6955,19828.433,18330.694
"023044",28468.4495,28790.444,27910.011
"023045",17780.0725,19389.463,17878.9135
"023054",27249.811,28789.51,26625.205
"023055",17999.084,19578.536,18104.169
"023064",26141.467,28788.568,25517.391
"023065",19292.832,20109.6685,19401.1145
"023074",27241.29,28788.7625,26619.575
"023075",19795.15,19192.3365,19898.413
"023084",26924.234,28718.896,26299.151
"023085",19256.644,18003.058,19359.22
"023094",25245.242,28443.2045,24619.39
"023095",19538.54,17748.315,19664.868
"023104",25382.113,28693.0185,24760.089
"023105",20310.296,17189.873,20662.432
"023114",24790.4845,28128.6555,24168.634
"023115",20799.638,17386.345,21600.717
"023124",24344.713,27685.283,23722.848
"023125",20484.154,17090.661,22108.427
"023134",24275.494,27618.237,23652.251
"023135",19906.2475,16516.284,22125.481
"023144",23674.9895,27007.17,23056.96
"023154",23751.506,26555.3,23264.8085
"023164",23220.913,26030.7495,22737.5845
"023174",23039.8885,25842.333,22554.805
"023184",22300.482,25108.8905,21820.295
"023194",21895.13,24701.163,21414.385
"023204",21860.733,24499.2225,21550.709
"023214",21491.5235,23938.834,21595.336
"023224",21050.2045,23498.165,21157.068
"023234",20743.644,23160.055,20849.233
